Date,Annual Urban Headline Inflation
" January, 2015",0.097
" February, 2015",0.106
" March, 2015",0.115
" April, 2015",0.11
" May, 2015",0.131
" June, 2015",0.114
" July, 2015",0.084
" August, 2015",0.079
" September, 2015",0.092
" October, 2015",0.097
" November, 2015",0.111
" December, 2015",0.111
" January, 2016",0.101
" February, 2016",0.091
" March, 2016",0.09
" April, 2016",0.103
" May, 2016",0.123
" June, 2016",0.14
" July, 2016",0.14
" August, 2016",0.155
" September, 2016",0.141
" October, 2016",0.136
" November, 2016",0.194
" December, 2016",0.233
" January, 2017",0.281
" February, 2017",0.302
" March, 2017",0.309
" April, 2017",0.315
" May, 2017",0.297
" June, 2017",0.298
" July, 2017",0.33
" August, 2017",0.319
" September, 2017",0.316
" October, 2017",0.308
" November, 2017",0.26
" December, 2017",0.219
" January, 2018",0.171
" February, 2018",0.144
" March, 2018",0.133
" April, 2018",0.131
" May, 2018",0.114
" June, 2018",0.144
" July, 2018",0.135
" August, 2018",0.142
" September, 2018",0.16
" October, 2018",0.177
" November, 2018",0.157
" December, 2018",0.12
" January, 2019",0.127
" February, 2019",0.144
" March, 2019",0.142
" April, 2019",0.13
" May, 2019",0.141
" June, 2019",0.094
" July, 2019",0.087
" August, 2019",0.075
" September, 2019",0.048
" October, 2019",0.031
" November, 2019",0.036
" December, 2019",0.071
" January, 2020",0.072
" February, 2020",0.053
" March, 2020",0.051
" April, 2020",0.059
" May, 2020",0.047
" June, 2020",0.056
" July, 2020",0.042
" August, 2020",0.034
" September, 2020",0.037
" October, 2020",0.045
" November, 2020",0.057
" December, 2020",0.054
" January, 2021",0.043
" February, 2021",0.045
" March, 2021",0.045
" April, 2021",0.041
" May, 2021",0.048
" June, 2021",0.049
" July, 2021",0.054
" August, 2021",0.057
" September, 2021",0.066
" October, 2021",0.063
" November, 2021",0.056
" December, 2021",0.059
" January, 2022",0.073
" February, 2022",0.088
" March, 2022",0.105
" April, 2022",0.131
" May, 2022",0.135
" June, 2022",0.132
" July, 2022",0.136
" August, 2022",0.146
" September, 2022",0.15
" October, 2022",0.162
" November, 2022",0.187
" December, 2022",0.213
" January, 2023",0.258
" February, 2023",0.319
" March, 2023",0.327
" April, 2023",0.306
" May, 2023",0.328
" June, 2023",0.357
" July, 2023",0.365
" August, 2023",0.374
" September, 2023",0.38
" October, 2023",0.358
" November, 2023",0.346
" December, 2023",0.337
" January, 2024",0.298
" February, 2024",0.357
" March, 2024",0.333
" April, 2024",0.325
" May, 2024",0.281
" June, 2024",0.275
" July, 2024",0.257
" August, 2024",0.262
" September, 2024",0.264
" October, 2024",0.265
" November, 2024",0.255
" December, 2024",0.241
" January, 2025",0.24
" February, 2025",0.128
" March, 2025",0.136
" April, 2025",0.139
" May, 2025",0.168
" June, 2025",0.149
" July, 2025",0.139
" August, 2025",0.12
" September, 2025",0.117
" October, 2025",0.125
"November, 2025",0.123
"December, 2025", 0.123
"January, 2026", 0.119
"February, 2026", 0.134
"March, 2026", 0.152
"April, 2026", 0.149
"May, 2026", 0.146
"June, 2026", 0.143
"June, 2026", 0.149
