,,Weight,"Annual 
inflation","Monthly 
inflation"
category family,All Items,50.3,14.5,0.1
main category 1,FOOD AND NON-ALCOHOLIC BEVERAGES,16.5,6.3,-1.1
sub category 1.1,Food,15.8,6.4,-1.2
sub item 1.1,Bread and cereals,2.0,4.6,0.6
sub item 1.1,Meat,4.7,4.9,-1.3
sub item 1.1,Fish and seafood,1.1,5.0,-0.9
sub item 1.1,"Milk, cheese and eggs",2.4,0.4,1.1
sub item 1.1,Oils and fats,1.3,6.5,0.4
sub item 1.1,Fruit,0.9,6.2,-1.2
sub item 1.1,Vegetables,2.2,23.8,-6.9
sub item 1.1,"Suger ,jam,honey,chocolate and confectionery",0.8,1.5,0.1
sub item 1.1,Other Food products,0.3,6.1,1.2
sub category 1.2,Non-Alcoholic Beverages,0.7,5.3,1.5
sub item 1.2,"Coffee,tea and cocoa",0.5,3.6,0.6
sub item 1.2,"Mineral waters,soft drinks,fruit and vegetable juices",0.2,9.0,3.7
main category  2,ALCOHOLIC BEVERAGES & TOBACCO ,2.2,9.1,0.3
sub item 2,Alcoholic beverages,0.0,20.6,18.4
sub item 2,Tobacco,2.2,9.1,0.3
main category 3,CLOTHING AND FOOTWEAR,2.2,14.0,0.5
sub category 3.1,Clothing,1.7,14.6,0.5
sub item 3.1,Clothing materials,0.0,13.7,0.8
sub item 3.1,Garments,1.5,14.6,0.4
sub item 3.1,Other clothes and accessories,0.0,10.7,0.0
sub item 3.1,"Cleaning,repair and hire of clothing",0.1,16.0,2.4
sub category 3.2,Footwear,0.5,11.8,0.4
sub item 3.2,Shoes and other Footwear,0.5,11.8,0.4
sub item 3.2,Repair and hire of Footwear,0.0,13.0,2.3
main category 4,"HOUSING,WATER,ELECTRICITY,GAS & FUELS",9.8,42.8,1.8
sub item 4,Actual rentals for housing,1.0,27.8,0.8
sub item 4,Imputed rentals for housing,5.9,66.3,0.9
sub item 4,Maintenance and repair of the dwelling,0.3,14.6,0.3
sub item 4,Water supply and miscellaneous services relating to the dwelling,0.8,3.7,0.0
sub item 4,"Electricity, gas and other fuels",1.9,23.2,5.1
main category  5,"FURNISHINGS, HOUSEHOLD'S EQUIPMENT & MAINTENANCE",2.0,16.9,0.9
sub item 5,"Furniture, furnishings, carpets and other floor coverings",0.1,13.2,0.4
sub item 5,Household Textiles,0.1,8.4,0.3
sub item 5,Household appliances,0.2,7.5,0.5
sub item 5,"Glassware, tableware and household utensils",0.0,12.1,0.6
sub item 5,Tools and equipment for house and garden,0.1,20.0,0.6
sub item 5,Goods and services for routine household maintenance,1.4,19.4,1.0
main category 6,HEALTH,4.3,4.6,0.5
sub item 6,"Medical products, appliances and equipment",2.7,-0.9,0.2
sub item 6,Out-patient services,0.8,16.5,1.0
sub item 6,Hospital services,0.8,16.5,1.2
main category 7,TRANSPORT,3.4,24.4,0.1
sub item 7,Purchase of vehicles,0.3,17.0,0.1
sub item 7,Operation of personal transport equipment,1.0,19.0,0.1
sub item 7,Transport services,2.1,28.4,0.1
main category 8,COMMUNICATIONS,1.4,11.4,0.0
sub item 8,Postal services,0.0,9.9,4.0
sub item 8,Telephone and telefax services,0.1,13.7,0.0
sub item 8,Telephone and fax service,1.3,11.2,0.0
main category 9,RECREATION AND CULTURE,1.1,15.7,0.2
sub item 9,"Audio,visual,photographic, information processing equipment",0.1,8.0,0.8
sub item 9,"Other recreational items and equipment, gardens and pets",0.0,15.5,3.9
sub item 9,Recreational items and equipment,0.1,2.4,0.0
sub item 9,"Newspapers, books and stationery",0.5,15.3,0.3
sub item 9,Package holidays,0.5,19.1,-0.1
main category 10,EDUCATION,2.8,18.7,0.0
sub item 10,Pre- primary and primary education,1.3,20.2,0.0
sub item 10,Secondary education,0.7,12.0,0.0
sub item 10,Post-Secondary Non- Tertiary education,0.0,422.4,0.0
sub item 10,Tertiary education,0.7,17.0,0.0
sub item 10,Unspecified level of education,0.0,8.7,0.0
main category 11,RESTAURANTS AND HOTELS,2.5,12.5,0.6
sub item 11,Catering services,2.5,12.4,0.6
sub item 11,Accommodation services,0.1,16.4,0.6
main category 12,MISCELLANEOUS GOODS AND SERVICES,2.2,12.2,0.6
sub item 12,Personal care,1.4,14.9,0.4
sub item 12,Personal effects,0.2,16.7,2.8
sub item 12,Insurance,0.4,0.0,0.0
sub item 12,Other services,0.3,2.7,0.1
